UNKNOWN
FTP_CONTROL
MAIL_POP
MAIL_SMTP
MAIL_IMAP
DNS
IPP
HTTP
MDNS
NTP
NETBIOS
NFS
SSDP
BGP
SNMP
XDMCP
SMB
SYSLOG
DHCP
POSTGRES
MYSQL
TDS
DIRECT_DOWNLOAD_LINK
MAIL_POPS
APPLEJUICE
DIRECTCONNECT
SOCRATES
COAP
VMWARE
MAIL_SMTPS
FILETOPIA
IMESH
KONTIKI
OPENFT
FASTTRACK
GNUTELLA
EDONKEY
BITTORRENT
EPP
CONTENT_AVI
CONTENT_FLASH
CONTENT_OGG
CONTENT_MPEG
CONTENT_QUICKTIME
CONTENT_REALMEDIA
CONTENT_WINDOWSMEDIA
CONTENT_MMS
XBOX
QQ
MOVE
RTSP
MAIL_IMAPS
ICECAST
PPLIVE
PPSTREAM
ZATTOO
SHOUTCAST
SOPCAST
TVANTS
TVUPLAYER
HTTP_DOWNLOAD
QQLIVE
THUNDER
SOULSEEK
SSL_NO_CERT
IRC
AYIYA
UNENCRYPED_JABBER
MSN
OSCAR
YAHOO
BATTLEFIELD
QUAKE
IP_VRRP
STEAM
HALFLIFE2
WORLDOFWARCRAFT
TELNET
STUN
IP_IPSEC
IP_GRE
IP_ICMP
IP_IGMP
IP_EGP
IP_SCTP
IP_OSPF
IP_IP_IN_IP
RTP
RDP
VNC
PCANYWHERE
SSL
SSH
USENET
MGCP
IAX
TFTP
AFP
STEALTHNET
AIMINI
SIP
TRUPHONE
ICMPV6
DHCPV6
ARMAGETRON
CROSSFIRE
DOFUS
FIESTA
FLORENSIA
GUILDWARS
HTTP_APPLICATION_ACTIVESYNC
KERBEROS
LDAP
MAPLESTORY
MSSQL
PPTP
WARCRAFT3
WORLD_OF_KUNG_FU
MEEBO
FACEBOOK
TWITTER
DROPBOX
GMAIL
GOOGLE_MAPS
YOUTUBE
SKYPE
GOOGLE
DCERPC
NETFLOW
SFLOW
HTTP_CONNECT
HTTP_PROXY
CITRIX
NETFLIX
LASTFM
WAZE
SKYFILE_PREPAID
SKYFILE_RUDICS
SKYFILE_POSTPAID
CITRIX_ONLINE
APPLE
WEBEX
WHATSAPP
APPLE_ICLOUD
VIBER
APPLE_ITUNES
RADIUS
WINDOWS_UPDATE
TEAMVIEWER
TUENTI
LOTUS_NOTES
SAP
GTP
UPNP
LLMNR
REMOTE_SCAN
SPOTIFY
WEBM
H323
OPENVPN
NOE
CISCOVPN
TEAMSPEAK
TOR
SKINNY
RTCP
RSYNC
ORACLE
CORBA
UBUNTUONE
 WHOIS_DAS
COLLECTD
SOCKS
MS_LYNC
RTMP
FTP_DATA
WIKIPEDIA
ZMQ
AMAZON
EBAY
CNN
MEGACO
REDIS
PANDO
VHUA
TELEGRAM
VEVO
PANDORA
QUIC
WHATSAPP_VOICE
EAQ
TIMMEU
TORCEDOR
KAKAOTALK
KAKAOTALK_VOICE
TWITCH
QUICKPLAY
TIM
MPEGTS
SNAPCHAT
SIMET
OPENSIGNAL
99TAXI
EASYTAXI
GLOBOTV
TIMSOMDECHAMADA
TIMMENU
TIMPORTASABERTAS
TIMRECARGA
TIMBETA
DEEZER
INSTAGRAM
MICROSOFT
STARCRAFT
TEREDO
HOTSPOT_SHIELD
HEP
UBNTAC2
OCS
OFFICE_365
CLOUDFLARE
MS_ONE_DRIVE
MQTT
RX
WEIBO
OPENDNS
